,Date,Language,Text,clean_text
21,2022-09-11 21:26:48+00:00,en,"@tedcruz @SteveGuest I mean, if I can't use an Amex to buy weed, why should I be able to use one to buy an assault weapon? And don't think I was gonna finish the tweet without calling you Comemierda, Rafa, that's the only good thing about you on this app.", mean can use amex buy weed able use one buy assault weapon think gonna finish tweet without calling comemierda rafa that good thing app 
22,2022-09-11 21:24:01+00:00,en,I smoke too much weed I do too much fuckin I kno I’m outta shape ian doin no runnin,smoke much weed much fuckin kno im outta shape ian doin runnin
23,2022-09-11 21:23:53+00:00,en,I know most people probs think I’m a broke bitch to be blowing money on weed but it’s fine guys cause I just don’t buy food to offset the cost💁🏻‍♀️😅,know people probs think im broke bitch blowing money weed its fine guys cause dont buy food offset cost
24,2022-09-11 21:22:08+00:00,en,Thinking about the fat joint that Ima smoke when I start smoking weed again. ☺️,thinking fat joint ima smoke start smoking weed again 
25,2022-09-11 21:21:12+00:00,en,Had a dream that me and @kathbarbadoro we’re recording in a mobile recording studio and we got pulled over and the cops found a weed pipe in the car and then I made myself wake up and got the fuck outta there. Not sure if dream Kath got popped for it,dream were recording mobile recording studio got pulled cops found weed pipe car made wake got fuck outta there sure dream kath got popped
26,2022-09-11 21:20:06+00:00,en,"@bougiegoblin We need to have a vegetable feast (starting with the most important vegetable, weed)", need vegetable feast starting important vegetable weed 
27,2022-09-11 21:19:42+00:00,en,@eddings311 Anything can be an addiction. It all boils down to discipline. I smoke weed but I don’t spend money on it to where it cuts into my expenses., anything addiction boils discipline smoke weed dont spend money cuts expenses 
28,2022-09-11 21:19:17+00:00,en,@nxyleaa Ur beautiful 😍.....is that brown weed in ur jar.....u need some of that CA weed, ur beautiful is brown weed ur jar u need ca weed
29,2022-09-11 21:18:30+00:00,en,"Blunt man and chronic, both love weed and fighting haters. Nothing makes them happier then to plaster a kids face with a permanent smile. @ThatKevinSmith has the best fan base https://t.co/PCDorE1w17",blunt man chronic love weed fighting haters nothing makes happier plaster kids face permanent smile best fan base 
30,2022-09-11 21:16:38+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres and is 90% contai…",rt woodridge court woodridge way near city weed siskiyou county acres contai
31,2022-09-11 21:16:34+00:00,en,"I roll my weed, not in my sorrows.🖤",roll weed sorrows 
32,2022-09-11 21:16:22+00:00,en,I have got on the wagon and fell off it isnt easy but I continually come back to the place where alcohol and cannabis can be incredibly fun when enjoyed in responsible moderation I cannot sustain a life where I drink and get high everyday. my truth that I just wanted to share. https://t.co/A9Fi95y0dH,got wagon fell isnt easy continually come back place alcohol cannabis incredibly fun enjoyed responsible moderation cannot sustain life drink get high everyday truth wanted share 
33,2022-09-11 21:14:36+00:00,en,Have been feeling really magical and the tipping point moment has definitely been my work to cut back on my alcohol and cannabis use to where I only indulge on Friday and Saturday unless it is a holiday where I don't have to work the next day. 🧵,feeling really magical tipping point moment definitely work cut back alcohol cannabis use indulge friday saturday unless holiday work next day 
34,2022-09-11 21:12:43+00:00,en,"@ethnobot @edrybicki Apparently in Arizona we can now grow it outdoors. 

https://t.co/bzslCnZarl", apparently arizona grow outdoors 
35,2022-09-11 21:12:09+00:00,en,"RT @danfranzzz: Intimidating scenes from the #MountainFire west of Weed, CA. Fire currently over 6,000 with 5% containment https://t.co/qRz…",rt intimidating scenes west weed ca fire currently containment 
36,2022-09-11 21:08:20+00:00,en,Cannabis cookies 🍪🍃 https://t.co/Z7l99HWEEh,cannabis cookies 
37,2022-09-11 21:07:41+00:00,en,"@3rdnJuan Nah, just separates the rational fans that have a clue about the game of football and the ball watchers who sound just plain silly right now. Perfect way to weed out the follows....", nah separates rational fans clue game football ball watchers sound plain silly right now perfect way weed follows 
38,2022-09-11 21:06:26+00:00,en,weed,weed
39,2022-09-11 21:04:04+00:00,en,MY BROTHER FRIEND CAME  TO SELL ME WEED ! In the process delivered Sausage ! 🔥🔥😳😳😳 LINK IN BIO ‼️ https://t.co/nyvv9QlVpZ,brother friend came sell weed process delivered sausage link bio 
40,2022-09-11 20:53:13+00:00,en,@democracyfan4 cons voted no to legalizing cannabis. Trudeau is doing great - far better than ANY previous con gov't and certainly better than any current provincial ones. https://t.co/JojBd7qxkH, cons voted legalizing cannabis trudeau great far better previous con gov certainly better current provincial ones 
41,2022-09-11 20:51:22+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres and is 90% contai…",rt woodridge court woodridge way near city weed siskiyou county acres contai
42,2022-09-11 20:49:25+00:00,en,Have you heard of Grassdoor? They're the most reliable weed delivery service in CA. Use my link to get 30% off your first order https://t.co/kxMllEpbEP,heard grassdoor they reliable weed delivery service ca use link get first order 
43,2022-09-11 20:48:09+00:00,en,FOMIYES 2pcs Steel Brush Cutter Trimmer Head Replacements Weed Eater Blades Lawn Mower Edger Blade Weed Eater Brush Cutter Tool via @amazon @amazonca #Amazon🇨🇦 https://t.co/LnYhEcmXaN,fomiyes steel brush cutter trimmer head replacements weed eater blades lawn mower edger blade weed eater brush cutter tool via 
44,2022-09-11 20:47:47+00:00,en,"Yard mowed, weed whacked, edged, beer run, all just in time to catch the opening drive Cousins to Jefferson special. #Skol baby!!!! https://t.co/6E4jf5daox",yard mowed weed whacked edged beer run time catch opening drive cousins jefferson special baby 
45,2022-09-11 20:45:53+00:00,en,"RT @ARCGoldCountry: The #MillFire Local Assistance Center is open today and tomorrow, 10AM-6PM, at the Weed Community Center. The @RedCross…",rt local assistance center open today tomorrow weed community center 
46,2022-09-11 20:42:26+00:00,en,There’s not enough weed in the world to take the edge off of that game,theres enough weed world take edge game
47,2022-09-11 20:40:26+00:00,en,@KingslandBid2 @NYCMayor @NYPD94Pct @JenGutierrezNYC First of all only thing I'm transporting is medicaid patients to they appointments and yes when I'm smoking weed I see all types of illegal shit but you know what as long as they don't fuck with me my family or the kids from the projects I mind my business, first thing i transporting medicaid patients appointments yes i smoking weed see types illegal shit know long fuck family kids projects mind business
48,2022-09-11 20:35:57+00:00,en,"Don’t invite me to no hookah lounge, bitch I smoke weed",dont invite hookah lounge bitch smoke weed
49,2022-09-11 20:32:58+00:00,en,"@latimes I talked to a young woman a few years ago who was in the cannabis industry in CA, and she said all the fees and restrictions have left the industry more centralized than it was before ""legalization"". She wanted deregulation.", talked young woman years ago cannabis industry ca said fees restrictions left industry centralized legalization wanted deregulation 
50,2022-09-11 20:31:29+00:00,en,It’s funny walking down the street and getting a waft of pot smoke every now &amp; then. Part of being in a legal recreational marijuana use state 😂,its funny walking street getting waft pot smoke every amp then part legal recreational marijuana use state 
51,2022-09-11 20:29:05+00:00,en,"Historians will use Venice Beach CA as the perfect example of radicalized Cult of Democrat Hate ruining a beach city w/ mentally ill &amp; homeless tent plague, crime skyrocketing, &amp; weed &amp; crack everywhere.

@SpeakerPelosi 
@GavinNewsom 
@ericgarcetti 
@LindseyPHorvath 
@LASDHQ
@THR https://t.co/m3jutqnDVG",historians use venice beach ca perfect example radicalized cult democrat hate ruining beach city w mentally ill amp homeless tent plague crime skyrocketing amp weed amp crack everywhere 
52,2022-09-11 20:28:29+00:00,en,"weed gay
nice gay 
outdoors gay","weed gay
nice gay outdoors gay"
53,2022-09-11 20:28:00+00:00,en,"@BruteResolution Ngl level 1 autism folks be getting on my nerves 😂 I told one girl ""autism isn't the reason you can't function it's because all you do is drink and smoke weed.""

I'm more considerate for my level 2 &amp; 3 folks", ngl level autism folks getting nerves told one girl autism reason can function drink smoke weed i considerate level amp folks
54,2022-09-11 20:26:45+00:00,en,quitting overusing marijuana the devils lettuce whatever imma use it as an incentive like ok was i good today okay go buy that j my love &lt;3,quitting overusing marijuana devils lettuce whatever imma use incentive like ok good today okay go buy j love lt 
55,2022-09-11 20:26:12+00:00,en,"Mentioned to my dad that I’m seeing a neurologist to treat my migraines.
He then texts me a list of all our relatives who died from brain related issues. The odds aren’t in my favor. 
Hooray. Now my anxiety has skyrocketed.
I need Xanax, weed, and DS9 reruns.",mentioned dad im seeing neurologist treat migraines he texts list relatives died brain related issues odds arent favor hooray anxiety skyrocketed i need xanax weed reruns 
56,2022-09-11 20:19:03+00:00,en,"RT @LNseven5: Canada Black Market ""Investigators say they seized a street value of almost $5,000,000 in cannabis, including 500 fully grown…",rt canada black market investigators say seized street value almost cannabis including fully grown
57,2022-09-11 20:17:01+00:00,en,"RT @snoopdoggslungz: 📸 Chem D
🌱(ig) https://t.co/08Krz2QMVZ 
#weed https://t.co/ZK4181FY1f",rt chem d ig 
58,2022-09-11 20:13:16+00:00,en,I was high as fuck for hours . That’s some strong shit no lie . I will just stick to weed . The shrooms not for me ! 🥴,high fuck hours thats strong shit lie stick weed shrooms 
59,2022-09-11 20:12:03+00:00,en,@KingslandBid2 @JenGutierrezNYC @EmilyAssembly @NYPD94Pct @ReynosoBrooklyn @DavilaAssembly @Griffinkelly003 @JCAndersonNYC Ima stay here long enough for you to call cops tell them im smoking weed they might come faster, ima stay long enough call cops tell im smoking weed might come faster
60,2022-09-11 20:06:00+00:00,en,@Tumble____weed @Emrys_Angel let me know when n where, let know n
61,2022-09-11 19:50:52+00:00,en,"Just in case you need it, here's the linkie: 
https://t.co/KewH0k9GkW https://t.co/oa8IEcCIhp",case need it here linkie 
62,2022-09-11 19:50:48+00:00,en,@ZainabOlufemi In the name of weed we meditate...Amen🙏 https://t.co/f2jzwwVkD0, name weed meditate amen 
63,2022-09-11 19:50:30+00:00,en,"Pick up Dead Wildlife
Dawes Rd &amp; Bexhill Ave
1 &amp; 5 h ago

Pick up Dead Wildlife
Dunlop Ave &amp; Hubert Ave
3h ago

Boulevards - Weed Removal
Danforth Rd &amp; Hubert Ave
22 Hours and 1 Day ago
https://t.co/tzvmVmgO7U","pick dead wildlife
dawes rd amp bexhill ave amp h ago pick dead wildlife
dunlop ave amp hubert ave ago boulevards weed removal
danforth rd amp hubert ave hours day ago "
64,2022-09-11 19:49:39+00:00,en,If you telling me God care if I smoke weed that’s some dumb shit — why would he even give a fuck or label that as sin,telling god care smoke weed thats dumb shit would even give fuck label sin
65,2022-09-11 19:49:17+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is 3,935 acres and 90% contained. @…",rt woodridge court woodridge way near city weed siskiyou county acres contained 
66,2022-09-11 19:49:15+00:00,en,"Cannabis propagation 🧑🏻‍🔬🟣🧫🌱
#cannabisindustry #cannabis #hemp #cbd #thisissiu #southerillinoisuniversity #southernillinois #propagation #plantpropagation #cannabidiol #cannabispropagation #science #siuc #siu #led #cannabissciencecenter #cannabisscience https://t.co/5IzWyF1FBh",cannabis propagation 
67,2022-09-11 19:43:43+00:00,en,"Cannabis retail: Shrinkage ahead
Why an industry that added 1,300 stores in the course of a year is ripe for consolidation.
https://t.co/xeyF7Re4mx","cannabis retail shrinkage ahead
why industry added stores course year ripe consolidation "
68,2022-09-11 19:42:00+00:00,en,Sheppards pie. #cannabisheals #cannabispics #strainbuffet #shepardspie #weed @ Breaking Bad Albuquerque https://t.co/002wSisZo2,sheppards pie breaking bad albuquerque 
69,2022-09-11 19:32:11+00:00,en,In need of good head and good weed…😩,need good head good weed
70,2022-09-11 19:30:41+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres and is 90% contai…",rt woodridge court woodridge way near city weed siskiyou county acres contai
71,2022-09-11 19:25:23+00:00,en,"@pulte 💥🤞💥I would be a blessing to be in my boys to be able to do laundry.Get my 4-year-old some new shoes cuz he's growing like a weed. take my boys just for them go 4 weekend they've been so resilient through the struggle and now slowly building back CASH APP💲
$Manythanks22a", i would blessing boys able laundry get year old new shoes cuz he growing like weed take boys go weekend they resilient struggle slowly building back cash app 
72,2022-09-11 19:23:03+00:00,en,Strong international medical #cannabis market still in its infancy🌿thinking it wise to diversify into Europe $CURLF $TLRY $INCR $IMCC $CLVR #LFGrow🌿 https://t.co/wmieCfWnTS,strong international medical market still infancythinking wise diversify europe curlf tlry incr imcc clvr 
73,2022-09-11 19:22:10+00:00,en,It kills me when I see the goodies from grade school smoking weed like wasn’t u just a nerd?,kills see goodies grade school smoking weed like wasnt u nerd 
74,2022-09-11 19:21:26+00:00,en,"Kansas was quick to legalize drive-thru cocktails at fast food restaurants but will still throw you in jail and throw away the key if you’re caught with a little weed. #ksleg #LegalizeIt #mmj 

🔗 https://t.co/DlhfVqXzsD https://t.co/pN6v11xIto",kansas quick legalize drive thru cocktails fast food restaurants still throw jail throw away key youre caught little weed 
75,2022-09-11 19:20:09+00:00,en,"@RaulNBCBoston @PhilAPerry Weed/edibles
Maybe DMT"," weed edibles
maybe dmt"
76,2022-09-11 19:19:23+00:00,en,"@patriottakes I wonder - is he in CA to score some of the sweet, legal CA weed?

I'm just askin' questions...", wonder ca score sweet legal ca weed i askin questions 
77,2022-09-11 19:19:15+00:00,en,"@HealthnFreedom @paulkrugman HUGE amounts of cash from legal cannabis sales in Co, CA, OR, WA, and many other states CAN’T BE BANKED. Fastest way to wash legal cannabis cash is at the title company closing table. It’s perfectly legal for a seller to accept a briefcase full of cash and turn around and bank it", huge amounts cash legal cannabis sales co ca or wa many states cant banked fastest way wash legal cannabis cash title company closing table its perfectly legal seller accept briefcase full cash turn around bank
78,2022-09-11 19:13:36+00:00,en,"@mmmMugwort @alice215 @king_of_bob @SnowHimbo Libertarians are nothing more than Republicans who like weed. As far as I'm concerned, they're lower than scum.", libertarians nothing republicans like weed far i concerned they lower scum 
79,2022-09-11 19:12:56+00:00,en,Ickey got smoked like good weed,ickey got smoked like good weed
80,2022-09-11 19:11:32+00:00,en,@DailyCaller As someone that actually live in CA &amp; the rural areas that produce cannabis.... This has been ongoing for years. Illegal grows are heavily targeted in California. I personally have friends in law enforcement and the national guard and that's all they do. All liberals., someone actually live ca amp rural areas produce cannabis ongoing years illegal grows heavily targeted california personally friends law enforcement national guard that do liberals 
81,2022-09-11 19:10:50+00:00,en,"@GOCNDIRISH @GloriaWetzel4 @JohnFetterman @DrOz He supports Medicare for all, bringing good paying jobs back in America, Raise the minimum wage, Pass the Pro Act and help protect workers who are organizing, Defending Women’s rights, legalize marijuana. He sounds like a champ.", supports medicare all bringing good paying jobs back america raise minimum wage pass pro act help protect workers organizing defending womens rights legalize marijuana sounds like champ 
82,2022-09-11 19:06:56+00:00,en,Dedication to your #cannabis plant is what makes for better smoke. Slacking off work on her needs will result in failure. And make for bad smoke.,dedication plant makes better smoke slacking work needs result failure make bad smoke 
83,2022-09-11 19:06:17+00:00,en,"And here's me and @PJK4brainhealth argh I disagree so hard with him on cannabis, but super happy to see him supporting @HelenaBFoulkes #vote https://t.co/BtTqkdGEbk",here argh disagree hard cannabis super happy see supporting 
84,2022-09-11 19:02:28+00:00,en,"Weeding out plastic waste in the cannabis industry!

Most cannabis packaging solutions are made of Polypropylene (PP), a plastic that can be found in takeaway food containers.

Find out more about this interesting topic! 
Read our blog: https://t.co/t1eeAqidmo https://t.co/uZpfMRHmVA",weeding plastic waste cannabis industry most cannabis packaging solutions made polypropylene pp plastic found takeaway food containers find interesting topic read blog 
85,2022-09-11 18:54:50+00:00,en,"this woman just called me a man after i said i was lesbian, and asked why i was trying to speak to her man. meanwhile her man was SELLING WEED &amp; i was just trying to pick up and ask if he take cashapp, like i’m so stunned that this happened rn. like i’m going through it bad",woman called man said lesbian asked trying speak man meanwhile man selling weed amp trying pick ask take cashapp like im stunned happened rn like im going bad
86,2022-09-11 18:54:35+00:00,en,How did I lose my weed ! SMH !,lose weed smh 
87,2022-09-11 18:51:48+00:00,en,"I know i said i had no weed, but i found a blunt",know said weed found blunt
88,2022-09-11 18:45:00+00:00,en,wondering if there’s any correlation between soldiers who used marijuana during and after combat vs those who did not https://t.co/AQRHJkVJdJ,wondering theres correlation soldiers used marijuana combat vs 
89,2022-09-11 18:44:52+00:00,en,"@wolfgirl1 @BucksDems @JohnFetterman Sure, keep believing that they are only going to release ""weed offenders"". Bless your heart, Dear. Research just how releasing ""weed offenders"" worked out in CA. Tell that to the family of the woman murdered in Memphis an  early released convict who previously killed someone.", sure keep believing going release weed offenders bless heart dear research releasing weed offenders worked ca tell family woman murdered memphis early released convict previously killed someone 
90,2022-09-11 18:41:50+00:00,en,cannabis🌿 https://t.co/KdkHVXxEbi,cannabis 
91,2022-09-11 18:41:35+00:00,en,@Tumble____weed @Emrys_Angel sounds fun :), sounds fun 
92,2022-09-11 18:36:13+00:00,en,"Fucking right!!! Oh, and definitely don't forget the weed... https://t.co/gA8iXpVNY0",fucking right oh definitely forget weed 
93,2022-09-11 18:35:48+00:00,en,Ion got no mf weed n thats the problem,ion got mf weed n thats problem
94,2022-09-11 18:31:03+00:00,en,"My Babies are doing so well, this is our 2nd round growing and I’ve learned so much! Thanks Cannabis Community @Futbolpapi_40 💚 #stonerchick #cannabliss #WeedLovers #CannabisCommunity #cannabisindustry #cannabisculture #Mmemberville #cannabis #cannawitch #cannagrower https://t.co/8ZcDAo7Lg6",babies well round growing ive learned much thanks cannabis community 
95,2022-09-11 18:27:34+00:00,en,@mtvtacallya Niggas high off mid &amp; gun powder lmao that’s why they hate weed so much, niggas high mid amp gun powder lmao thats hate weed much
96,2022-09-11 18:25:09+00:00,en,I wish I was still smoking weed. I would have a few rolled up right now watching football,wish still smoking weed would rolled right watching football
97,2022-09-11 18:23:12+00:00,en,@brettness37 I’m fighting wildfire smoke and allergies and weed smoking and I sound like I have constant bronchitis. I just don’t go anywhere anymore. 😩, im fighting wildfire smoke allergies weed smoking sound like constant bronchitis dont go anywhere anymore 
98,2022-09-11 18:20:47+00:00,en,White. . . Weed #cannabis - ' sunsun (#sundays) #podcast #streaming ‐ subscriptions. trapogoly https://t.co/sOCd5TANDG,white weed sunsun subscriptions trapogoly 
99,2022-09-11 18:19:19+00:00,en,Use it’s fun rad eye 👁 rock hard girl love sissy pops Pa &amp; Ma Momz got a real living prob Lenape killer weed I can taste 👅 sock seconds shotgun blown uppity upper fixer up ⬆️ high in cloud nine pink soap sign high low in compliance packaging pursuing happiness burn 🔥 focus#,use its fun rad eye rock hard girl love sissy pops pa amp momz got real living prob lenape killer weed taste sock seconds shotgun blown uppity upper fixer high cloud nine pink soap sign high low compliance packaging pursuing happiness burn focus 
100,2022-09-11 18:19:17+00:00,en,I never thought it was possible to have withdrawals from weed … babyyyyyyy 😭😭😭,never thought possible withdrawals weed babyyyyyyy 
101,2022-09-11 18:14:36+00:00,en,"RT @snoopdoggslungz: 📸 Chem D
🌱(ig) https://t.co/08Krz2QMVZ 
#weed https://t.co/ZK4181FY1f",rt chem d ig 
102,2022-09-11 18:09:52+00:00,en,"@MatthewPHoh It's not time to legalize cannabis. It's time to send that authority back to the States.

Federal govt can limit transport across States and the import/export thereof. Constitutionally, that's all.", time legalize cannabis time send authority back states federal govt limit transport across states import export thereof constitutionally that all 
103,2022-09-11 18:07:49+00:00,en,"today is giving, imma get wine drunk smoke my weed &amp; watch my ghetto tv… yea",today giving imma get wine drunk smoke weed amp watch ghetto tv yea
104,2022-09-11 18:01:31+00:00,en,"😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣💣🔥.
(Peace &amp; Weed)
(TBW) https://t.co/rI7pT6TBZA", peace amp weed tbw 
105,2022-09-11 18:00:38+00:00,en,"@LP27249621 @boots29508325 @LeafandThistle PMJT has a history of telling the Elites and UN to shove it. https://t.co/RzR2qg5uMp

Show me where PP has even passed a single bill in his 18 year career. Continuous politician, no job history, somehow amassed $9m in wealth in his 18 year MP career. You're a fucking sucker.", pmjt history telling elites un shove it show pp even passed single bill year career continuous politician job history somehow amassed wealth year mp career fucking sucker 
106,2022-09-11 18:00:36+00:00,en,"Chicago Bears &amp; Buffalo Bills. 
(Peace &amp; Weed)
(TBW) https://t.co/dj4wUkLtjX",chicago bears amp buffalo bills peace amp weed tbw 
107,2022-09-11 18:00:29+00:00,en,I need me some damn weed omg,need damn weed omg
108,2022-09-11 18:00:05+00:00,en,"🤣🤣🤣🤣🤣😂😂😂😂💣🔥.
(Peace &amp; Weed)
(TBW) https://t.co/YpMtuNuJCt", peace amp weed tbw 
109,2022-09-11 17:59:37+00:00,en,@offshoreoddity Also occasional posts like this are good ways to weed out prudes and cowards 🤣, also occasional posts like good ways weed prudes cowards 
110,2022-09-11 17:58:35+00:00,en,@419show @goldiessweetbox Motherhood Sex Marijuana The Podcast #StonerFam #Mmemberville #podcast line up for SE4 OUT DA DOOR 😁💚 https://t.co/degKHsTPM3 https://t.co/Cub5UOnP6A, motherhood sex marijuana podcast line da door 
111,2022-09-11 17:53:40+00:00,en,Should have smoked some Oregon weed first.. that food is nirvana after a bowl! https://t.co/GLrNaOBgD9,smoked oregon weed first food nirvana bowl 
112,2022-09-11 17:51:59+00:00,en,"RT @SiskiyouSheriff: #MillFire Local Assistance Center today until 6 p.m. in Weed, CA.",rt local assistance center today p m weed ca 
113,2022-09-11 17:48:53+00:00,en,"RT @SiskiyouSheriff: #MillFire Local Assistance Center today until 6 p.m. in Weed, CA.",rt local assistance center today p m weed ca 
114,2022-09-11 17:47:54+00:00,en,"Supply run before heading off to Louisville #muchneeded (@ Pisos Marijuana Dispensary - @pisoslv in Las Vegas, NV) https://t.co/4Uz6E8lsXO https://t.co/aL1Y5BqgbM",supply run heading louisville pisos marijuana dispensary las vegas nv 
115,2022-09-11 17:47:30+00:00,en,@reviews_thc @ou812_Kess Cons voted no to legalizing cannabis. #NeverVoteConservative https://t.co/JojBd7qxkH, cons voted legalizing cannabis 
116,2022-09-11 17:46:57+00:00,en,"RT @SiskiyouSheriff: #MillFire Local Assistance Center today until 6 p.m. in Weed, CA.",rt local assistance center today p m weed ca 
117,2022-09-11 17:46:48+00:00,en,"#MillFire Local Assistance Center today until 6 p.m. in Weed, CA. https://t.co/tMAch9LZ1m", local assistance center today p m weed ca 
118,2022-09-11 17:43:13+00:00,en,@darbysounds does weed count, weed count
119,2022-09-11 17:38:33+00:00,en,"RT @snoopdoggslungz: 📸 Chem D
🌱(ig) https://t.co/08Krz2QMVZ 
#weed https://t.co/ZK4181FY1f",rt chem d ig 
120,2022-09-11 17:35:00+00:00,en,@meaagain1 cons voted against legalizing cannabis. https://t.co/JojBd7qxkH, cons voted legalizing cannabis 
121,2022-09-11 17:31:05+00:00,en,"RT @CALFIRE_PIO: #RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres…",rt woodridge court woodridge way near city weed siskiyou county acres
122,2022-09-11 17:28:47+00:00,en,BRUH ONE OF MY EMPLOYEES JUST TEXTED THE GROUP CHAT HIS WEED ORDER BY ACCIDENT,bruh one employees texted group chat weed order accident
123,2022-09-11 17:26:55+00:00,en,@TheVotersSay @ou812_Kess Cons voted no to legalizing cannabis. https://t.co/JojBd7qxkH, cons voted legalizing cannabis 
124,2022-09-11 17:26:35+00:00,en,I farted on a bag of weed behind the cinema https://t.co/rPgnuR1jHB,farted bag weed behind cinema 
125,2022-09-11 17:24:50+00:00,en,This is why I smoke weed instead of drinking,smoke weed instead drinking
126,2022-09-11 17:22:14+00:00,en,My grandma still call weed “the devils lettuce” 🥬😭😂 I hate it here bruhh,grandma still call weed the devils lettuce hate bruhh
127,2022-09-11 17:21:42+00:00,en,Follow @thelungfactory to see this lovely lady tell you all about cannabis facts. https://t.co/WKZedOCgw9,follow see lovely lady tell cannabis facts 
